"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.339643562E0,4.055999756E1,-1.488000011E1,3.257999802E1,5.411084989E1
1.347547615E0,4.043999863E1,-1.505999947E1,3.257999802E1,5.407081786E1
1.355543220E0,4.020000076E1,-1.488000011E1,3.234000015E1,5.369664863E1
1.363477790E0,4.037999725E1,-1.493999958E1,3.227999878E1,5.381213698E1
1.371442878E0,4.037999725E1,-1.517999935E1,3.257999802E1,5.405953042E1
1.379285896E0,4.031999969E1,-1.553999996E1,3.257999802E1,5.411700514E1
1.387220466E0,4.013999939E1,-1.553999996E1,3.288000107E1,5.416461594E1
1.395185554E0,3.977999878E1,-1.535999966E1,3.293999863E1,5.388340563E1
1.403089607E0,3.941999817E1,-1.553999996E1,3.305999756E1,5.374375585E1
1.411054695E0,3.936000061E1,-1.475999928E1,3.311999893E1,5.351636718E1
1.418958747E0,3.959999847E1,-1.500000000E1,3.323999786E1,5.383360788E1
1.426862800E0,3.995999908E1,-1.511999989E1,3.323999786E1,5.413236907E1
1.434858406E0,4.002000046E1,-1.488000011E1,3.341999817E1,5.422094722E1
1.442762458E0,4.013999939E1,-1.517999935E1,3.341999817E1,5.439253817E1
1.450727546E0,4.020000076E1,-1.500000000E1,3.300000000E1,5.412984446E1
1.458601081E0,3.959999847E1,-1.535999966E1,3.245999908E1,5.345784329E1
1.466535652E0,4.002000046E1,-1.517999935E1,3.215999985E1,5.353782221E1
1.474500740E0,4.031999969E1,-1.571999931E1,3.227999878E1,5.398906440E1
1.482404792E0,3.995999908E1,-1.589999962E1,3.263999939E1,5.399056468E1
1.490400398E0,4.007999802E1,-1.535999966E1,3.354000092E1,5.447263067E1
1.498243415E0,3.965999985E1,-1.553999996E1,3.377999878E1,5.436446913E1
1.506147468E0,3.923999786E1,-1.529999924E1,3.377999878E1,5.399032994E1
1.514112556E0,3.900000000E1,-1.529999924E1,3.359999847E1,5.370335068E1
1.522077644E0,3.911999893E1,-1.542000008E1,3.323999786E1,5.360082254E1
1.530012214E0,3.887999725E1,-1.547999954E1,3.263999939E1,5.307215967E1
1.537855232E0,3.900000000E1,-1.542000008E1,3.257999802E1,5.310586289E1
1.545789802E0,3.941999817E1,-1.523999977E1,3.263999939E1,5.340003192E1
1.553754890E0,3.959999847E1,-1.542000008E1,3.281999969E1,5.369440065E1
1.561658943E0,3.984000015E1,-1.559999943E1,3.311999893E1,5.410656082E1
1.569624031E0,4.007999802E1,-1.553999996E1,3.329999924E1,5.437635322E1
1.577528083E0,3.995999908E1,-1.565999985E1,3.293999863E1,5.410250116E1
1.585432136E0,3.995999908E1,-1.559999943E1,3.234000015E1,5.372184955E1
1.593427742E0,4.013999939E1,-1.547999954E1,3.227999878E1,5.378520482E1
1.601331794E0,3.989999771E1,-1.535999966E1,3.204000092E1,5.342753097E1
1.609235847E0,3.965999985E1,-1.542000008E1,3.275999832E1,5.370204354E1
1.617139900E0,3.911999893E1,-1.571999931E1,3.323999786E1,5.368789578E1
1.625043952E0,3.887999725E1,-1.559999943E1,3.329999924E1,5.351545681E1
1.633009040E0,3.905999756E1,-1.602000046E1,3.318000031E1,5.369577492E1
1.640943611E0,3.941999817E1,-1.619999886E1,3.347999954E1,5.419673964E1
1.648908699E0,3.965999985E1,-1.607999992E1,3.371999741E1,5.448412806E1
1.656751716E0,3.984000015E1,-1.565999985E1,3.389999771E1,5.460467976E1
1.664655769E0,3.965999985E1,-1.523999977E1,3.365999985E1,5.420487774E1
1.672651374E0,3.971999741E1,-1.469999981E1,3.329999924E1,5.387632261E1
1.680555427E0,3.995999908E1,-1.457999992E1,3.323999786E1,5.398402896E1
1.688520515E0,3.965999985E1,-1.500000000E1,3.288000107E1,5.365640743E1
1.696394050E0,3.984000015E1,-1.553999996E1,3.354000092E1,5.434748267E1
1.704298103E0,3.936000061E1,-1.577999973E1,3.371999741E1,5.417800536E1
1.712263191E0,3.959999847E1,-1.583999920E1,3.402000046E1,5.455663007E1
1.720197761E0,3.971999741E1,-1.571999931E1,3.450000000E1,5.490943974E1
1.728132331E0,3.977999878E1,-1.523999977E1,3.473999786E1,5.496883979E1
1.736036384E0,4.020000076E1,-1.517999935E1,3.450000000E1,5.510646461E1
1.743940437E0,3.954000092E1,-1.535999966E1,3.413999939E1,5.445071919E1
1.751905525E0,3.977999878E1,-1.571999931E1,3.413999939E1,5.472756380E1
1.759840095E0,3.971999741E1,-1.571999931E1,3.402000046E1,5.460912931E1
1.767774665E0,3.977999878E1,-1.602000046E1,3.438000107E1,5.496429014E1
1.775617683E0,4.013999939E1,-1.596000004E1,3.473999786E1,5.543291986E1
1.783552253E0,4.043999863E1,-1.565999985E1,3.461999893E1,5.549030015E1
1.791578376E0,4.025999832E1,-1.547999954E1,3.402000046E1,5.493503692E1
1.799482429E0,3.984000015E1,-1.547999954E1,3.389999771E1,5.455333026E1
1.807478034E0,3.995999908E1,-1.542000008E1,3.365999985E1,5.447543959E1
1.815321052E0,3.971999741E1,-1.583999920E1,3.389999771E1,5.456916358E1
1.823225105E0,3.965999985E1,-1.589999962E1,3.402000046E1,5.461763458E1
1.831251228E0,3.989999771E1,-1.589999962E1,3.395999908E1,5.475492072E1
1.839155281E0,3.971999741E1,-1.596000004E1,3.420000076E1,5.479087376E1
1.847089851E0,3.965999985E1,-1.571999931E1,3.384000015E1,5.445346249E1
1.854963386E0,3.977999878E1,-1.596000004E1,3.420000076E1,5.483438662E1
1.862897956E0,3.929999924E1,-1.565999985E1,3.443999863E1,5.455125150E1
1.870863044E0,3.929999924E1,-1.553999996E1,3.389999771E1,5.417740658E1
1.878767097E0,3.911999893E1,-1.589999962E1,3.461999893E1,5.460520699E1
1.886732185E0,3.936000061E1,-1.626000023E1,3.497999954E1,5.511077593E1
1.894575202E0,4.007999802E1,-1.715999985E1,3.509999847E1,5.597215137E1
1.902479255E0,4.002000046E1,-1.734000015E1,3.515999985E1,5.602233154E1
1.910444343E0,4.031999969E1,-1.721999931E1,3.497999954E1,5.608770917E1
1.918378913E0,4.013999939E1,-1.692000008E1,3.420000076E1,5.538182017E1
1.926344001E0,3.959999847E1,-1.571999931E1,3.402000046E1,5.452191017E1
1.934248054E0,3.984000015E1,-1.542000008E1,3.431999969E1,5.479839773E1
1.942152107E0,3.923999786E1,-1.529999924E1,3.420000076E1,5.425410087E1
1.950117195E0,3.965999985E1,-1.523999977E1,3.473999786E1,5.488206112E1
1.958021247E0,3.984000015E1,-1.547999954E1,3.479999924E1,5.511711118E1
1.966016853E0,3.947999954E1,-1.565999985E1,3.486000061E1,5.494657043E1
1.973859870E0,3.977999878E1,-1.553999996E1,3.552000046E1,5.554827031E1
1.981763923E0,3.911999893E1,-1.577999973E1,3.575999832E1,5.530063461E1
1.989729011E0,3.971999741E1,-1.607999992E1,3.636000061E1,5.619870315E1
1.997663581E0,3.995999908E1,-1.619999886E1,3.761999893E1,5.722329778E1
2.005598152E0,3.995999908E1,-1.596000004E1,3.779999924E1,5.727445391E1
2.013441169E0,4.020000076E1,-1.559999943E1,3.834000015E1,5.770056893E1
2.021345222E0,3.959999847E1,-1.529999924E1,3.870000076E1,5.744510349E1
2.029310310E0,3.954000092E1,-1.523999977E1,3.768000031E1,5.670495294E1
2.037214363E0,3.984000015E1,-1.523999977E1,3.629999924E1,5.601047357E1
2.045118415E0,3.971999741E1,-1.565999985E1,3.509999847E1,5.527136403E1
2.052991951E0,3.984000015E1,-1.577999973E1,3.425999832E1,5.486329819E1
2.060957038E0,4.031999969E1,-1.577999973E1,3.402000046E1,5.506424610E1
2.068922126E0,3.977999878E1,-1.613999939E1,3.431999969E1,5.496189828E1
2.076826179E0,4.002000046E1,-1.631999969E1,3.486000061E1,5.552623226E1
2.084760749E0,3.977999878E1,-1.661999893E1,3.473999786E1,5.536731995E1
2.092603767E0,3.977999878E1,-1.631999969E1,3.402000046E1,5.482837882E1
2.100507820E0,4.031999969E1,-1.607999992E1,3.455999756E1,5.548569369E1
2.108472908E0,4.007999802E1,-1.571999931E1,3.389999771E1,5.479721219E1
2.116376960E0,4.002000046E1,-1.553999996E1,3.354000092E1,5.447957137E1
2.124342048E0,3.959999847E1,-1.559999943E1,3.359999847E1,5.422619071E1
2.132185066E0,3.936000061E1,-1.553999996E1,3.275999832E1,5.351559340E1
2.140119636E0,3.923999786E1,-1.583999920E1,3.275999832E1,5.351542298E1
2.148145759E0,3.984000015E1,-1.607999992E1,3.323999786E1,5.432024915E1
2.156049812E0,3.965999985E1,-1.631999969E1,3.384000015E1,5.462969511E1
2.163984382E0,3.929999924E1,-1.644000053E1,3.420000076E1,5.462969531E1
2.171857917E0,3.936000061E1,-1.571999931E1,3.431999969E1,5.453613853E1
2.179761970E0,3.941999817E1,-1.529999924E1,3.402000046E1,5.427141663E1
2.187727058E0,3.965999985E1,-1.481999969E1,3.371999741E1,5.412565200E1
2.195631111E0,3.984000015E1,-1.481999969E1,3.341999817E1,5.407175123E1
2.203565681E0,4.013999939E1,-1.500000000E1,3.377999878E1,5.456471267E1
2.211408699E0,3.941999817E1,-1.547999954E1,3.407999802E1,5.436003041E1
2.219312751E0,3.936000061E1,-1.553999996E1,3.420000076E1,5.440901855E1
2.227277839E0,3.947999954E1,-1.559999943E1,3.455999756E1,5.473959972E1
2.235242927E0,3.941999817E1,-1.589999962E1,3.402000046E1,5.444361004E1
2.243208015E0,3.984000015E1,-1.523999977E1,3.354000092E1,5.426246278E1
2.251112068E0,3.971999741E1,-1.523999977E1,3.323999786E1,5.398919563E1
2.259046638E0,3.959999847E1,-1.505999947E1,3.288000107E1,5.362889085E1
2.267011726E0,3.947999954E1,-1.469999981E1,3.281999969E1,5.340330269E1
2.274915779E0,3.941999817E1,-1.469999981E1,3.275999832E1,5.332207554E1
2.282880867E0,3.959999847E1,-1.475999928E1,3.293999863E1,5.358228221E1
2.290723884E0,3.989999771E1,-1.475999928E1,3.275999832E1,5.369436550E1
2.298688972E0,4.020000076E1,-1.488000011E1,3.281999969E1,5.398709887E1
2.306654060E0,3.989999771E1,-1.511999989E1,3.341999817E1,5.419889751E1
2.314558113E0,3.984000015E1,-1.529999924E1,3.329999924E1,5.413137296E1
2.322492683E0,4.007999802E1,-1.565999985E1,3.395999908E1,5.481718138E1
2.330335701E0,3.995999908E1,-1.577999973E1,3.395999908E1,5.476396129E1
2.338239753E0,4.020000076E1,-1.571999931E1,3.402000046E1,5.495924736E1
2.346204841E0,3.995999908E1,-1.577999973E1,3.431999969E1,5.498792865E1
2.354108894E0,3.947999954E1,-1.577999973E1,3.402000046E1,5.445217339E1
2.362104499E0,3.918000031E1,-1.607999992E1,3.431999969E1,5.451147770E1
2.369947517E0,3.959999847E1,-1.607999992E1,3.389999771E1,5.455214131E1
2.377851570E0,3.977999878E1,-1.619999886E1,3.359999847E1,5.453300068E1
2.385816658E0,4.020000076E1,-1.577999973E1,3.347999954E1,5.464392759E1
2.393751228E0,4.025999832E1,-1.553999996E1,3.341999817E1,5.458255528E1
2.401716316E0,4.025999832E1,-1.565999985E1,3.354000092E1,5.469035309E1
2.409620368E0,4.025999832E1,-1.529999924E1,3.354000092E1,5.458836051E1
2.417524421E0,3.977999878E1,-1.547999954E1,3.354000092E1,5.428637352E1
2.425489509E0,3.947999954E1,-1.547999954E1,3.359999847E1,5.410416479E1
2.433393562E0,3.900000000E1,-1.542000008E1,3.407999802E1,5.403908463E1
2.441358650E0,3.923999786E1,-1.559999943E1,3.425999832E1,5.437724616E1
2.449232185E0,3.929999924E1,-1.577999973E1,3.425999832E1,5.447243171E1
2.457136238E0,3.959999847E1,-1.589999962E1,3.425999832E1,5.472401074E1
2.465101326E0,3.936000061E1,-1.596000004E1,3.389999771E1,5.434281088E1
2.473035896E0,3.870000076E1,-1.596000004E1,3.395999908E1,5.390448217E1
2.481000984E0,3.875999832E1,-1.619999886E1,3.461999893E1,5.443640105E1
2.488874519E0,3.905999756E1,-1.619999886E1,3.473999786E1,5.472650933E1
